Id,repo,issue_id,type,actor,event,created_at,link_url,link_type,link_repo,link_issue_id
6733,request/request,380,1,,cross-referenced,2012-11-28 23:51:39,https://api.github.com/repos/request/request/issues/349,0,request/request,349
6731,request/request,381,1,,cross-referenced,2012-11-29 20:38:17,https://api.github.com/repos/request/request/issues/204,0,request/request,204
6732,request/request,381,1,,cross-referenced,2012-12-29 13:03:06,https://api.github.com/repos/request/request/issues/373,0,request/request,373
6716,request/request,384,1,,cross-referenced,2013-03-01 21:24:49,https://api.github.com/repos/request/request/issues/454,1,request/request,454
6715,request/request,385,1,,cross-referenced,2013-02-10 04:21:37,https://api.github.com/repos/request/request/issues/431,1,request/request,431
6714,request/request,387,0,,cross-referenced,2012-12-08 05:31:07,https://api.github.com/repos/request/request/issues/388,1,request/request,388
6713,request/request,388,1,,cross-referenced,2013-11-21 20:11:31,https://api.github.com/repos/request/request/issues/387,0,request/request,387
6711,request/request,394,0,,cross-referenced,2013-02-10 04:21:37,https://api.github.com/repos/request/request/issues/431,1,request/request,431
6710,request/request,396,0,,cross-referenced,2014-07-02 15:34:31,https://api.github.com/repos/request/request/issues/953,1,request/request,953
6708,request/request,399,1,,cross-referenced,2013-02-13 19:26:45,https://api.github.com/repos/request/request/issues/433,1,request/request,433
6707,request/request,401,0,,cross-referenced,2015-05-07 06:06:57,https://api.github.com/repos/request/request/issues/1547,0,request/request,1547
6706,request/request,406,0,,cross-referenced,2014-10-24 16:43:55,https://api.github.com/repos/request/request/issues/1211,1,request/request,1211
6705,request/request,407,1,,cross-referenced,2013-03-19 09:36:13,https://api.github.com/repos/request/request/issues/469,1,request/request,469
6702,request/request,411,0,,cross-referenced,2013-01-11 20:14:14,https://api.github.com/repos/request/request/issues/406,0,request/request,406
6703,request/request,411,0,,cross-referenced,2014-10-24 16:43:55,https://api.github.com/repos/request/request/issues/1211,1,request/request,1211
6704,request/request,411,0,,cross-referenced,2015-02-05 20:08:52,https://api.github.com/repos/request/request/issues/1408,1,request/request,1408
6701,request/request,412,0,,cross-referenced,2013-01-15 19:12:25,https://api.github.com/repos/request/request/issues/413,1,request/request,413
6673,request/request,420,1,,cross-referenced,2013-02-24 21:19:14,https://api.github.com/repos/request/request/issues/99,0,request/request,99
6671,request/request,424,1,,cross-referenced,2013-02-10 04:21:37,https://api.github.com/repos/request/request/issues/431,1,request/request,431
6672,request/request,424,1,,cross-referenced,2013-03-01 21:19:02,https://api.github.com/repos/request/request/issues/452,1,request/request,452
6670,request/request,426,0,,cross-referenced,2014-10-24 16:43:55,https://api.github.com/repos/request/request/issues/1211,1,request/request,1211
6668,request/request,428,0,,cross-referenced,2014-03-18 09:37:05,https://api.github.com/repos/request/request/issues/588,0,request/request,588
6669,request/request,428,0,,cross-referenced,2014-03-27 19:15:37,https://api.github.com/repos/request/request/issues/848,0,request/request,848
6667,request/request,430,1,,cross-referenced,2014-10-24 16:43:55,https://api.github.com/repos/request/request/issues/1211,1,request/request,1211
6666,request/request,431,1,,cross-referenced,2013-03-01 21:13:31,https://api.github.com/repos/request/request/issues/424,1,request/request,424
6663,request/request,433,1,,cross-referenced,2014-01-27 09:38:17,https://api.github.com/repos/request/request/issues/769,0,request/request,769
6661,request/request,434,0,,cross-referenced,2013-12-29 11:44:56,https://api.github.com/repos/request/request/issues/749,0,request/request,749
6659,request/request,436,1,,cross-referenced,2013-03-04 08:52:33,https://api.github.com/repos/request/request/issues/462,1,request/request,462
